"","DATE","XTEXVA01CNM667S"
"1","2000-02-01",19032.1891178918
"2","2000-03-01",19984.4494030737
"3","2000-04-01",20669.3619872068
"4","2000-05-01",20449.2979270436
"5","2000-06-01",21793.3352602434
"6","2000-07-01",21029.614755964
"7","2000-08-01",21713.8894625007
"8","2000-09-01",21587.0673047382
"9","2000-10-01",22139.4793440627
"10","2000-11-01",21119.296479944
"11","2000-12-01",20096.8238023907
"12","2001-01-01",19820.502271341
"13","2001-02-01",24435.7285127764
"14","2001-03-01",23163.4613100472
"15","2001-04-01",22385.6138295883
"16","2001-05-01",21377.4190669545
"17","2001-06-01",22011.8931984377
"18","2001-07-01",22074.5612904216
"19","2001-08-01",22069.9924647102
"20","2001-09-01",22702.0724108572
"21","2001-10-01",22033.7893476681
"22","2001-11-01",22843.8489001671
"23","2001-12-01",22767.2827848514
"24","2002-01-01",24850.8133639267
"25","2002-02-01",24384.3273970453
"26","2002-03-01",24280.1374035178
"27","2002-04-01",25761.665920266
"28","2002-05-01",25397.8688746645
"29","2002-06-01",26376.0983015495
"30","2002-07-01",27727.8626099984
"31","2002-08-01",28180.5419885514
"32","2002-09-01",29629.8990423677
"33","2002-10-01",29065.0766201707
"34","2002-11-01",29972.4540383956
"35","2002-12-01",29257.2562319041
"36","2003-01-01",33480.9897906212
"37","2003-02-01",31413.6937914771
"38","2003-03-01",32817.5777249855
"39","2003-04-01",34365.0258194839
"40","2003-05-01",35373.0214090231
"41","2003-06-01",34417.3481236207
"42","2003-07-01",36259.0943048531
"43","2003-08-01",36597.193979722
"44","2003-09-01",38515.4366414405
"45","2003-10-01",39797.5288515723
"46","2003-11-01",40439.9630934063
"47","2003-12-01",43246.3592678762
"48","2004-01-01",40372.4590091816
"49","2004-02-01",44438.3394040151
"50","2004-03-01",45590.902161562
"51","2004-04-01",45624.5147546916
"52","2004-05-01",47617.7417771697
"53","2004-06-01",49407.9995981639
"54","2004-07-01",49257.3575990578
"55","2004-08-01",49555.2287456041
"56","2004-09-01",51492.146581747
"57","2004-10-01",52684.8769647941
"58","2004-11-01",57084.2319713881
"59","2004-12-01",57386.5177293744
"60","2005-01-01",57453.7310284748
"61","2005-02-01",57428.2017136793
"62","2005-03-01",60800.8672447856
"63","2005-04-01",61246.7143204646
"64","2005-05-01",61304.74003024
"65","2005-06-01",64211.3154362415
"66","2005-07-01",64222.627360426
"67","2005-08-01",64592.117072788
"68","2005-09-01",64870.2289933602
"69","2005-10-01",68312.8204048762
"70","2005-11-01",67876.8096523877
"71","2005-12-01",69309.3963215558
"72","2006-01-01",71369.4146032734
"73","2006-02-01",70180.2081517114
"74","2006-03-01",79087.5894049448
"75","2006-04-01",77502.8291911846
"76","2006-05-01",75609.0683308077
"77","2006-06-01",79234.4264666566
"78","2006-07-01",78412.4046942592
"79","2006-08-01",85007.2864485491
"80","2006-09-01",85692.004133888
"81","2006-10-01",87269.5587819771
"82","2006-11-01",90514.0411414825
"83","2006-12-01",88075.6243628443
"84","2007-01-01",92066.8433478801
"85","2007-02-01",106731.25017936
"86","2007-03-01",87520.3928714786
"87","2007-04-01",97730.152697725
"88","2007-05-01",96554.7788430619
"89","2007-06-01",102458.894351538
"90","2007-07-01",102670.561372484
"91","2007-08-01",103719.937469753
"92","2007-09-01",106319.53911402
"93","2007-10-01",105306.386931619
"94","2007-11-01",112087.954615016
"95","2007-12-01",106647.02548837
"96","2008-01-01",114695.839669669
"97","2008-02-01",115241.188854288
"98","2008-03-01",116729.035616566
"99","2008-04-01",118578.494625582
"100","2008-05-01",124058.777849206
"101","2008-06-01",120421.290261502
"102","2008-07-01",126996.568646211
"103","2008-08-01",129429.581939104
"104","2008-09-01",125333.845740748
"105","2008-10-01",125321.419014236
"106","2008-11-01",113569.96289532
"107","2008-12-01",99413.1441270709
"108","2009-01-01",94663.3290620192
"109","2009-02-01",88031.5848955828
"110","2009-03-01",95447.4320308468
"111","2009-04-01",92754.4898327284
"112","2009-05-01",91668.4017975192
"113","2009-06-01",93788.8891947342
"114","2009-07-01",97595.6913613602
"115","2009-08-01",99855.6722719247
"116","2009-09-01",106766.21952641
"117","2009-10-01",109705.198457901
"118","2009-11-01",110151.80379837
"119","2009-12-01",116720.261151416
"120","2010-01-01",114519.220450164
"121","2010-02-01",130553.399528816
"122","2010-03-01",116449.887523379
